DADA2_Header,Fraction,Graft,Variety
ROERh1,Rhizosphere,Grafted,Explorer
ROERh2,Rhizosphere,Grafted,Explorer
ROERh3,Rhizosphere,Grafted,Explorer
ROERh4,Rhizosphere,Grafted,Explorer
ROESo1,Soil,Grafted,Explorer
ROESo2,Soil,Grafted,Explorer
ROESo3,Soil,Grafted,Explorer
ROESo4,Soil,Grafted,Explorer
ROFRh1,Rhizosphere,Grafted,Freedom
ROFRh2,Rhizosphere,Grafted,Freedom
ROFRh3,Rhizosphere,Grafted,Freedom
ROFRh4,Rhizosphere,Grafted,Freedom
ROFSo1,Soil,Grafted,Freedom
ROFSo2,Soil,Grafted,Freedom
ROFSo3,Soil,Grafted,Freedom
RONRh1,Rhizosphere,Non_grafted,Natal_Briar
RONRh2,Rhizosphere,Non_grafted,Natal_Briar
RONRh3,Rhizosphere,Non_grafted,Natal_Briar
RONRh4,Rhizosphere,Non_grafted,Natal_Briar
RONSo1,Soil,Non_grafted,Natal_Briar
RONSo3,Soil,Non_grafted,Natal_Briar
RONSo4,Soil,Non_grafted,Natal_Briar
