"DADA2_Header","Variety","Fraction","Depth","LDepth"
"ROERh1","Explorer","Rhizosphere",50197,10.8237105429379
"ROERh2","Explorer","Rhizosphere",94098,11.4520920713625
"ROERh3","Explorer","Rhizosphere",69981,11.1559790556167
"ROERh4","Explorer","Rhizosphere",60052,11.0029661325322
"ROESo1","Explorer","Soil",72430,11.1903758571894
"ROESo2","Explorer","Soil",40303,10.6041811868515
"ROESo3","Explorer","Soil",77397,11.2567032991367
"ROESo4","Explorer","Soil",75838,11.2363547652732
"ROFRh1","Freedom","Rhizosphere",22312,10.0128799293073
"ROFRh2","Freedom","Rhizosphere",64920,11.0809110216285
"ROFRh3","Freedom","Rhizosphere",64748,11.0782580910539
"ROFRh4","Freedom","Rhizosphere",81010,11.3023278828245
"ROFSo1","Freedom","Soil",70069,11.1572357498199
"ROFSo2","Freedom","Soil",46711,10.7517349619589
"ROFSo4","Freedom","Soil",119746,11.6931281117925
"RONRh1","Natal_Briar","Rhizosphere",36592,10.5075849162626
"RONRh2","Natal_Briar","Rhizosphere",49445,10.8086162197041
"RONRh3","Natal_Briar","Rhizosphere",81106,11.3035122201043
"RONRh4","Natal_Briar","Rhizosphere",17436,9.76629231335828
"RONSo1","Natal_Briar","Soil",63794,11.0634144210233
"RONSo3","Natal_Briar","Soil",60111,11.0039481320619
"RONSo4","Natal_Briar","Soil",85670,11.3582579849581
